time,open,high,low,close,tick_volume,spread,real_volume
1752667200,1.16252,1.16261,1.1613,1.16155,1833,2,0
1752670800,1.16155,1.16189,1.1609099999999999,1.16172,1527,2,0
1752674400,1.16172,1.16211,1.16008,1.16034,1954,2,0
1752678000,1.16033,1.16127,1.1592500000000001,1.15985,3673,2,0
1752681600,1.15985,1.1602999999999999,1.15629,1.15725,4150,2,0
1752685200,1.15727,1.16058,1.15621,1.15927,4018,2,0
1752688800,1.15922,1.17218,1.15922,1.16295,11026,2,0
1752692400,1.16289,1.16563,1.16153,1.1639,6227,2,0
1752696000,1.1639,1.16583,1.16363,1.16412,3432,2,0
1752699600,1.16413,1.16438,1.16273,1.16281,2117,2,0
1752703200,1.16281,1.16371,1.16205,1.16358,1955,2,0
1752706800,1.16358,1.16422,1.16333,1.16419,891,2,0
1752710400,1.16337,1.16404,1.16319,1.16333,663,24,0
1752714000,1.1634,1.1642299999999999,1.16336,1.16361,859,3,0
1752717600,1.1636199999999999,1.164,1.16332,1.16356,770,2,0
1752721200,1.16354,1.1636,1.1617,1.16237,1664,2,0
1752724800,1.16239,1.16289,1.16134,1.16278,1927,2,0
1752728400,1.16276,1.16276,1.16168,1.1618,1587,2,0
1752732000,1.1618,1.16194,1.16141,1.16189,1305,2,0
1752735600,1.16188,1.16246,1.16157,1.16244,1067,2,0
1752739200,1.16244,1.16272,1.16165,1.16168,1394,2,0
1752742800,1.16168,1.16175,1.15732,1.15831,3450,2,0
1752746400,1.15831,1.15966,1.1574,1.15906,2898,2,0
1752750000,1.15905,1.16052,1.15894,1.16014,2019,2,0
1752753600,1.16019,1.1604700000000001,1.15886,1.15907,1589,2,0
1752757200,1.15907,1.15913,1.15832,1.1586,1414,2,0
1752760800,1.1586,1.15899,1.15703,1.15745,1674,2,0
1752764400,1.15743,1.1592500000000001,1.15564,1.1587,3622,2,0
1752768000,1.1587,1.15985,1.15801,1.15859,3383,2,0
1752771600,1.15859,1.15926,1.15775,1.15879,2943,2,0
1752775200,1.15878,1.16026,1.15853,1.15962,2389,2,0
1752778800,1.15963,1.16016,1.15834,1.15861,2113,2,0
1752782400,1.15862,1.15904,1.15821,1.15849,1602,2,0
1752786000,1.15849,1.15879,1.15799,1.15843,1285,2,0
1752789600,1.15843,1.15997,1.15842,1.15974,1525,2,0
1752793200,1.15973,1.16002,1.15939,1.1596,755,3,0
1752796800,1.15936,1.15972,1.15926,1.15957,493,24,0
1752800400,1.1595900000000001,1.16191,1.1595900000000001,1.16165,1010,3,0
1752804000,1.1617,1.16196,1.16144,1.16148,887,2,0
1752807600,1.16149,1.16276,1.1614200000000001,1.16244,1773,2,0
1752811200,1.16244,1.16343,1.16198,1.16288,1776,2,0
1752814800,1.16285,1.16312,1.1623999999999999,1.16291,1396,2,0
1752818400,1.16291,1.16317,1.16218,1.16237,1213,2,0
1752822000,1.16237,1.16238,1.1618,1.16193,1099,2,0
1752825600,1.16193,1.16204,1.16121,1.16171,1277,2,0
1752829200,1.16171,1.16225,1.16119,1.16202,1936,2,0
1752832800,1.16207,1.16312,1.16199,1.16289,2002,2,0
1752836400,1.16287,1.16456,1.16281,1.16354,2183,2,0
1752840000,1.16353,1.16431,1.16332,1.16333,1657,2,0
1752843600,1.16334,1.1642000000000001,1.16319,1.164,1455,2,0
1752847200,1.164,1.1648,1.16395,1.16444,1681,2,0
1752850800,1.16444,1.16584,1.16431,1.16562,2494,2,0
1752854400,1.16562,1.16675,1.16479,1.16658,2977,2,0
1752858000,1.16658,1.16718,1.16444,1.16478,3666,2,0
1752861600,1.16479,1.16578,1.16427,1.16446,2487,2,0
1752865200,1.1644700000000001,1.16488,1.16262,1.16285,2433,2,0
1752868800,1.16285,1.16297,1.16177,1.1627,1610,2,0
1752872400,1.1627,1.16279,1.16193,1.16215,1362,2,0
1752876000,1.16216,1.16231,1.1616900000000001,1.16223,1293,2,0
1752879600,1.16222,1.1627399999999999,1.16192,1.16223,885,3,0
1753056000,1.16222,1.1633499999999999,1.16222,1.16307,857,31,0
1753059600,1.16307,1.16327,1.16223,1.16262,2061,3,0
1753063200,1.16262,1.16317,1.16246,1.16297,1051,2,0
1753066800,1.16297,1.16363,1.16189,1.16192,1625,2,0
1753070400,1.16186,1.16253,1.16159,1.16174,1709,2,0
1753074000,1.1617,1.16243,1.16144,1.1622,1320,2,0
1753077600,1.16219,1.16256,1.16198,1.16252,1123,2,0
1753081200,1.16252,1.163,1.16228,1.16291,884,2,0
1753084800,1.16291,1.16354,1.16275,1.16336,1319,2,0
1753088400,1.1633499999999999,1.16428,1.16293,1.16413,2089,2,0
1753092000,1.16416,1.16473,1.16356,1.16435,2070,2,0
1753095600,1.16435,1.16522,1.16364,1.1642299999999999,2085,2,0
1753099200,1.1642299999999999,1.16485,1.16382,1.16446,1599,2,0
1753102800,1.1644700000000001,1.1646,1.1633499999999999,1.16454,1594,2,0
1753106400,1.16454,1.16697,1.16445,1.16676,2113,2,0
1753110000,1.16676,1.16732,1.16625,1.1665,2131,2,0
1753113600,1.1665,1.16654,1.16575,1.16647,2136,2,0
1753117200,1.16646,1.16983,1.16638,1.16962,3398,2,0
1753120800,1.16963,1.17167,1.16955,1.17047,2810,2,0
1753124400,1.17047,1.17057,1.16953,1.16999,2021,2,0
1753128000,1.17,1.17014,1.16858,1.16907,1547,2,0
1753131600,1.16907,1.16953,1.16868,1.16938,1478,2,0
1753135200,1.16938,1.1696,1.16892,1.16895,1249,2,0
1753138800,1.16894,1.16941,1.16882,1.16931,1029,3,0
1753142400,1.16892,1.1694,1.16892,1.16909,410,24,0
1753146000,1.16909,1.16947,1.16906,1.16946,569,3,0
1753149600,1.16947,1.16959,1.16903,1.16948,537,2,0
1753153200,1.16953,1.16953,1.16832,1.1688399999999999,1505,2,0
1753156800,1.1688399999999999,1.16901,1.1682299999999999,1.1688,1266,2,0
1753160400,1.1688,1.16956,1.1688,1.16904,935,2,0
1753164000,1.16904,1.1691,1.1685,1.16873,1038,2,0
1753167600,1.16873,1.16946,1.16859,1.16883,952,2,0
1753171200,1.16883,1.16921,1.16831,1.16871,1246,2,0
1753174800,1.16871,1.16921,1.1684,1.16913,1578,2,0
1753178400,1.16909,1.16922,1.16816,1.16858,1856,2,0
1753182000,1.16858,1.17033,1.16838,1.16983,2018,2,0
1753185600,1.16988,1.17069,1.16933,1.17053,1644,2,0
1753189200,1.17053,1.17094,1.16997,1.17018,1548,2,0
1753192800,1.17018,1.17038,1.16942,1.17014,1858,2,0
1753196400,1.17014,1.17048,1.1683,1.16906,2348,2,0
1753200000,1.16906,1.17045,1.16787,1.17043,3031,2,0
1753203600,1.17043,1.17262,1.1690800000000001,1.17222,3890,2,0
1753207200,1.1722,1.1749100000000001,1.17146,1.17479,3385,2,0
1753210800,1.17479,1.17605,1.17446,1.1755,2399,2,0
1753214400,1.1755,1.17553,1.1743000000000001,1.1745700000000001,1545,2,0
1753218000,1.1745700000000001,1.17482,1.17418,1.1748,1215,2,0
1753221600,1.1748,1.1752799999999999,1.17447,1.17514,1148,2,0
1753225200,1.17514,1.17526,1.17449,1.17517,913,3,0
1753228800,1.17532,1.17532,1.17468,1.17468,403,24,0
1753232400,1.17468,1.17504,1.17462,1.17481,779,3,0
1753236000,1.17482,1.17561,1.17364,1.1738,1478,2,0
1753239600,1.17376,1.17478,1.17334,1.17471,2294,2,0
1753243200,1.17475,1.17485,1.17304,1.17371,2120,2,0
1753246800,1.17368,1.17419,1.17325,1.17346,2188,2,0
1753250400,1.17347,1.1746,1.1734,1.1739,1531,2,0
1753254000,1.17388,1.17397,1.1732,1.17349,1267,2,0
1753257600,1.17349,1.17378,1.17269,1.17303,1590,2,0
1753261200,1.17303,1.17425,1.17301,1.17423,2193,2,0
1753264800,1.17423,1.17529,1.17337,1.1742,2545,2,0
1753268400,1.1742,1.1748,1.1730800000000001,1.17329,2082,2,0
1753272000,1.17329,1.17395,1.17303,1.17359,1930,2,0
1753275600,1.17359,1.17364,1.17229,1.17258,1827,2,0
1753279200,1.17258,1.17313,1.17233,1.17256,2014,2,0
1753282800,1.17257,1.17329,1.17201,1.1724999999999999,2083,2,0
1753286400,1.1724999999999999,1.17302,1.17109,1.1726,2900,2,0
1753290000,1.17262,1.17377,1.17232,1.1733500000000001,2844,2,0
1753293600,1.1733500000000001,1.17583,1.17217,1.1746699999999999,3264,2,0
1753297200,1.1746699999999999,1.17607,1.17428,1.17512,3814,2,0
1753300800,1.17512,1.17648,1.17455,1.17596,2737,2,0
1753304400,1.17596,1.17739,1.17594,1.17712,1839,2,0
1753308000,1.17716,1.17749,1.17678,1.17733,1612,2,0
1753311600,1.17734,1.1775,1.1766,1.17704,1280,3,0
1753315200,1.17671,1.17734,1.17662,1.17666,690,24,0
1753318800,1.17668,1.17746,1.17667,1.17734,786,3,0
1753322400,1.17736,1.17788,1.17728,1.17731,748,2,0
1753326000,1.17732,1.17734,1.17619,1.17669,1661,2,0
1753329600,1.17669,1.17794,1.17668,1.17749,2121,2,0
1753333200,1.17749,1.17785,1.17708,1.17767,1501,2,0
1753336800,1.17767,1.178,1.17736,1.1775,1366,2,0
1753340400,1.17751,1.17779,1.17727,1.17741,1177,2,0
1753344000,1.17741,1.17782,1.17703,1.17709,1703,2,0
1753347600,1.17708,1.17729,1.1757,1.17571,2262,2,0
1753351200,1.17571,1.17697,1.17549,1.17616,2681,2,0
1753354800,1.17621,1.17681,1.17554,1.1757900000000001,2107,2,0
1753358400,1.1757900000000001,1.17592,1.17466,1.17524,1874,2,0
1753362000,1.17524,1.17547,1.17432,1.17489,1532,2,0
1753365600,1.17489,1.17563,1.17455,1.17557,1723,2,0
1753369200,1.17558,1.17586,1.1732,1.1736,3146,2,0
1753372800,1.1736,1.17769,1.17304,1.17714,4931,2,0
1753376400,1.17713,1.17886,1.17614,1.17662,3921,2,0
1753380000,1.17662,1.17783,1.1755200000000001,1.17646,3162,2,0
1753383600,1.17646,1.17725,1.17567,1.17624,2454,2,0
1753387200,1.17626,1.17779,1.17602,1.17697,1524,2,0
1753390800,1.17697,1.17708,1.1762299999999999,1.17659,1350,2,0
1753394400,1.17659,1.177,1.1757900000000001,1.1758,1395,2,0
1753398000,1.1757900000000001,1.17598,1.17449,1.17473,1319,3,0
1753401600,1.17386,1.17489,1.17386,1.17452,772,24,0
1753405200,1.17451,1.17532,1.17438,1.1752,826,3,0
1753408800,1.17522,1.17573,1.17495,1.17547,919,2,0
1753412400,1.17547,1.17586,1.17488,1.17543,1882,2,0
1753416000,1.17543,1.17583,1.1739,1.17429,1967,2,0
1753419600,1.17429,1.17437,1.17342,1.17392,1273,2,0
1753423200,1.17392,1.17452,1.1736900000000001,1.17423,1191,2,0
1753426800,1.17423,1.17462,1.1734,1.174,1269,2,0
1753430400,1.174,1.17488,1.1737,1.17466,1597,2,0
1753434000,1.17465,1.17609,1.17419,1.17478,2495,2,0
1753437600,1.17477,1.17593,1.17477,1.17527,2790,2,0
1753441200,1.17526,1.1758,1.17415,1.17431,2829,2,0
1753444800,1.17431,1.17435,1.17331,1.1735,2049,2,0
1753448400,1.1735,1.17372,1.17245,1.1728,1628,2,0
1753452000,1.1728,1.1731,1.17114,1.17209,2185,2,0
1753455600,1.17209,1.17273,1.17115,1.17183,2408,2,0
1753459200,1.17183,1.17301,1.1703000000000001,1.17217,5451,2,0
1753462800,1.17225,1.17357,1.17216,1.17294,3289,2,0
1753466400,1.17294,1.17386,1.17219,1.17289,2591,2,0
1753470000,1.1729,1.17306,1.17203,1.17288,2322,2,0
1753473600,1.17287,1.1739600000000001,1.17286,1.17362,1380,2,0
1753477200,1.17363,1.17465,1.17355,1.17454,1472,2,0
1753480800,1.17452,1.1747,1.1741,1.17437,1110,2,0
1753484400,1.17436,1.17437,1.17373,1.17388,1253,3,0
1753660800,1.17504,1.17628,1.17504,1.17601,825,24,0
1753664400,1.17597,1.17688,1.17512,1.17551,1588,3,0
1753668000,1.17553,1.17607,1.17537,1.17556,1054,2,0
1753671600,1.17555,1.17705,1.17547,1.17638,2205,2,0
1753675200,1.17638,1.17696,1.17473,1.17524,2244,2,0
1753678800,1.17524,1.17572,1.17462,1.17547,1704,2,0
1753682400,1.17547,1.17571,1.17509,1.17565,1292,2,0
1753686000,1.17565,1.1758,1.17456,1.17474,1310,2,0
1753689600,1.17474,1.17476,1.1739600000000001,1.17407,1476,2,0
1753693200,1.17407,1.17445,1.17111,1.17212,3218,2,0
1753696800,1.17212,1.17238,1.16705,1.16748,4136,2,0
1753700400,1.16748,1.16901,1.1671,1.16791,3181,2,0
1753704000,1.1679,1.16844,1.16581,1.16669,2721,2,0
1753707600,1.16666,1.1672,1.1655,1.16577,2603,2,0
1753711200,1.16577,1.16586,1.16436,1.1651,3294,2,0
1753714800,1.16511,1.16652,1.16479,1.16578,3640,2,0
1753718400,1.16578,1.1662,1.16256,1.16339,3757,2,0
