time,open,high,low,close,tick_volume,spread,real_volume,volume
2024-10-18 08:00:00,1.30215,1.30304,1.30197,1.30247,2628,4,0,2628
2024-10-18 09:00:00,1.30247,1.3071,1.30235,1.30603,6251,5,0,6251
2024-10-18 10:00:00,1.30604,1.30645,1.30521,1.30521,4572,4,0,4572
2024-10-18 11:00:00,1.30522,1.30532,1.3034,1.3041,4531,4,0,4531
2024-10-18 12:00:00,1.3041,1.30493,1.30338,1.30342,4522,4,0,4522
2024-10-18 13:00:00,1.30343,1.30494,1.30343,1.30467,3872,4,0,3872
2024-10-18 14:00:00,1.30467,1.30492,1.30409,1.3045,3832,4,0,3832
2024-10-18 15:00:00,1.3045,1.30546,1.30417,1.30487,4611,4,0,4611
2024-10-18 16:00:00,1.30487,1.30665,1.30431,1.30492,6139,4,0,6139
2024-10-18 17:00:00,1.30492,1.3054,1.30327,1.3036,6663,4,0,6663
2024-10-18 18:00:00,1.3036,1.30418,1.30199,1.30212,4604,4,0,4604
2024-10-18 19:00:00,1.30212,1.30443,1.30197,1.30439,3222,4,0,3222
2024-10-18 20:00:00,1.30439,1.30446,1.3038,1.3043,2480,4,0,2480
2024-10-18 21:00:00,1.30429,1.30458,1.30385,1.30453,3867,4,0,3867
2024-10-18 22:00:00,1.30452,1.30454,1.30408,1.30424,5069,4,0,5069
2024-10-18 23:00:00,1.30423,1.30506,1.30411,1.30486,4244,2,0,4244
2024-10-21 00:00:00,1.30439,1.30447,1.30389,1.30431,1069,82,0,1069
2024-10-21 01:00:00,1.30431,1.30576,1.30431,1.30522,1135,4,0,1135
2024-10-21 02:00:00,1.30522,1.30551,1.30473,1.30518,1088,4,0,1088
2024-10-21 03:00:00,1.30517,1.30528,1.30426,1.30428,3441,4,0,3441
2024-10-21 04:00:00,1.30427,1.30529,1.30419,1.30464,3608,4,0,3608
2024-10-21 05:00:00,1.30464,1.30527,1.3045,1.305,2471,4,0,2471
2024-10-21 06:00:00,1.305,1.30523,1.30488,1.30499,1647,4,0,1647
2024-10-21 07:00:00,1.30498,1.30499,1.30384,1.30402,1769,4,0,1769
2024-10-21 08:00:00,1.30402,1.30445,1.30389,1.30422,2492,4,0,2492
2024-10-21 09:00:00,1.30423,1.30423,1.30255,1.30281,3211,4,0,3211
2024-10-21 10:00:00,1.30281,1.30324,1.30197,1.30217,4169,4,0,4169
2024-10-21 11:00:00,1.30218,1.30275,1.30118,1.30262,3716,4,0,3716
2024-10-21 12:00:00,1.30261,1.30335,1.30177,1.3019,3561,4,0,3561
2024-10-21 13:00:00,1.30189,1.30236,1.3013,1.30215,3664,4,0,3664
2024-10-21 14:00:00,1.30215,1.3029,1.30183,1.30185,3392,4,0,3392
2024-10-21 15:00:00,1.30185,1.30332,1.30172,1.30292,4577,4,0,4577
2024-10-21 16:00:00,1.30291,1.30318,1.30184,1.30232,5188,4,0,5188
2024-10-21 17:00:00,1.30232,1.30233,1.29969,1.30012,5513,4,0,5513
2024-10-21 18:00:00,1.30011,1.30013,1.29794,1.29795,5600,4,0,5600
