trade_id,timestamp,strategy_name,strategy_version,ict_pattern,pattern_confidence,pattern_quality,confluence_score,confluences_str,market_session,session_phase,smart_money_enhanced,entry_method,entry_price,risk_percentage,initial_risk_reward,actual_risk_reward,net_pnl,pnl_pips,exit_method,trade_quality_score,execution_quality
ICT_20240101_000000_CHA,2024-01-01T00:00:00,CHANGE_OF_CHARACTER,1.0,CHANGE_OF_CHARACTER,0.7023947096716956,C,0.7131791165471232,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY",ASIAN,mid,True,PATTERN_BREAKOUT,1.082111131862897,0.02,0.9069109342602455,2.24349913926311,17.280430763063965,24.280430763063695,TAKE_PROFIT,83.90131920382895,good
ICT_20240101_000000_FVG,2024-01-01T00:00:00,SMART_MONEY_INSTITUTIONAL,3.0,FVG_BEARISH,0.6199033790540296,C,0.7889949572224981,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY",ASIAN,mid,True,PATTERN_BREAKOUT,1.1021811689097472,0.02,1.0700294068175973,3.223185164117825,20.32762914138709,27.327629141386108,TAKE_PROFIT,83.32197530218335,good
ICT_20240101_000000_ORD,2024-01-01T00:00:00,ORDER_BLOCK_BULLISH,1.5,ORDER_BLOCK_BULLISH,0.6939515288167375,C,0.791515939594119,"VOLUME_CONFIRMATION,RISK_REWARD_FAVORABLE,STRUCTURE_ALIGNMENT",ASIAN,mid,False,ORDER_BLOCK_RETEST,1.0834227080819891,0.02,3.4330385349253025,2.333468276831426,6.702638342403262,13.702638342404011,TAKE_PROFIT,85.60644435435509,excellent
ICT_20240101_000000_SIL,2024-01-01T00:00:00,SILVER_BULLET_CLASSIC,1.0,SILVER_BULLET,0.8022313763600718,B,0.7711435262328155,"MULTI_TIMEFRAME_SYNC,PATTERN_QUALITY_HIGH,SESSION_OPTIMIZATION,LIQUIDITY_POOL_PROXIMITY,INSTITUTIONAL_FLOW",ASIAN,mid,True,KILLZONE_ENTRY,1.0851910711663353,0.02,1.5904344046390926,0.7062264920653262,-24.84712331641458,-17.847123316414418,STOP_LOSS,58.34552944662254,average
ICT_20240101_000000_FVG,2024-01-01T00:00:00,SMART_MONEY_INSTITUTIONAL,3.0,FVG_BEARISH,0.9300326901047706,B,0.7202695868900855,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY,RISK_REWARD_FAVORABLE,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.1027571155613405,0.02,2.829538276546143,0.2766974693164522,-27.71092859059931,-20.710928590599764,STOP_LOSS,65.90772037539526,average
ICT_20240101_000000_BRE,2024-01-01T00:00:00,BREAK_OF_STRUCTURE,1.0,BREAK_OF_STRUCTURE,0.8578565460863904,B,0.757967344397051,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.0889947075370892,0.02,1.5541940855989813,3.352675996134689,37.30583146720402,44.30583146720487,TAKE_PROFIT,89.68487999251799,excellent
ICT_20240101_000000_ORD,2024-01-01T00:00:00,ORDER_BLOCK_BULLISH,1.5,ORDER_BLOCK_BULLISH,0.7261387794477019,B,0.8424741299479206,"VOLUME_CONFIRMATION,RISK_REWARD_FAVORABLE,STRUCTURE_ALIGNMENT",ASIAN,mid,False,ORDER_BLOCK_RETEST,1.1086735193409836,0.02,2.257212434162361,2.4299538211248515,34.32333269951883,41.3233326995189,TAKE_PROFIT,77.84601663212908,good
ICT_20240102_000000_BUL,2024-01-02T00:00:00,BULLISH_OB,1.0,BULLISH_OB,0.7577704829966452,C,0.740528745128798,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY,PATTERN_QUALITY_HIGH",ASIAN,mid,True,PATTERN_BREAKOUT,1.0955231560827154,0.02,1.9188120472353982,0.8925378703957704,-24.281671001816434,-17.2816710018174,STOP_LOSS,56.24633311811931,average
ICT_20240102_000000_FVG,2024-01-02T00:00:00,FVG_BULLISH,1.0,FVG_BULLISH,0.9205639876965146,A,0.7873000596163005,"RISK_REWARD_FAVORABLE,PATTERN_QUALITY_HIGH",ASIAN,mid,False,PATTERN_BREAKOUT,1.0987051727046624,0.02,2.4305275732447433,1.7010305027837618,32.15911862240051,39.15911862240006,TAKE_PROFIT,82.29942112130294,good
ICT_20240101_000000_CHA,2024-01-01T00:00:00,SMART_MONEY_INSTITUTIONAL,3.0,CHANGE_OF_CHARACTER,0.6884637977295308,C,0.7746878174029715,"INSTITUTIONAL_FLOW,LIQUIDITY_POOL_PROXIMITY",ASIAN,mid,True,PATTERN_BREAKOUT,1.0938366731867701,0.02,1.6432126241717333,2.7777660566548876,25.818610081182257,32.818610081181845,TAKE_PROFIT,80.02110936696022,good
