time,open,high,low,close,tick_volume,spread,real_volume,volume
2017-11-24,1.18486,1.19443,1.18368,1.19287,63203,0,0,63203
2017-11-27,1.19265,1.19611,1.18955,1.18978,66198,0,0,66198
2017-11-28,1.1897,1.19199,1.18268,1.18372,83602,0,0,83602
2017-11-29,1.18365,1.18827,1.18168,1.18468,76114,0,0,76114
2017-11-30,1.18468,1.19315,1.18089,1.19035,83311,0,0,83311
2017-12-01,1.19031,1.19403,1.18508,1.18919,112210,0,0,112210
2017-12-04,1.18618,1.18786,1.18291,1.18656,83207,0,0,83207
2017-12-05,1.18655,1.18766,1.18007,1.18261,83768,0,0,83768
2017-12-06,1.18247,1.1848,1.17806,1.17948,76974,0,0,76974
2017-12-07,1.17948,1.18147,1.17719,1.17719,70650,0,0,70650
2017-12-08,1.17719,1.17765,1.17302,1.17731,79807,0,0,79807
2017-12-11,1.1765,1.18118,1.17634,1.17685,61944,0,0,61944
2017-12-12,1.17685,1.17927,1.17175,1.1741,63642,0,0,63642
2017-12-13,1.1741,1.18315,1.17294,1.18257,79958,0,0,79958
2017-12-14,1.18257,1.18625,1.17707,1.17773,97269,0,0,97269
2017-12-15,1.17774,1.18124,1.17482,1.17505,78757,0,0,78757
2017-12-18,1.17435,1.18344,1.17375,1.17812,97584,1,0,97584
2017-12-19,1.17812,1.18486,1.17766,1.18385,106375,1,0,106375
2017-12-20,1.18382,1.19017,1.18289,1.18702,103982,1,0,103982
2017-12-21,1.18702,1.18896,1.18493,1.18724,94619,0,0,94619
2017-12-22,1.18722,1.18754,1.18169,1.1863,103267,1,0,103267
2017-12-26,1.18704,1.18785,1.18466,1.18579,30123,1,0,30123
2017-12-27,1.18579,1.19103,1.18551,1.18865,85184,1,0,85184
2017-12-28,1.18865,1.19589,1.18864,1.19422,79872,1,0,79872
2017-12-29,1.19422,1.20255,1.19362,1.20045,85664,1,0,85664
2018-01-02,1.20088,1.20812,1.20007,1.20579,92779,1,0,92779
2018-01-03,1.20579,1.20661,1.2001,1.20142,100595,1,0,100595
2018-01-04,1.20142,1.20889,1.20043,1.20678,109715,1,0,109715
2018-01-05,1.20678,1.20828,1.20206,1.20298,113628,1,0,113628
2018-01-08,1.20268,1.20523,1.19556,1.19669,88921,1,0,88921
2018-01-09,1.19669,1.19756,1.19155,1.19364,100787,1,0,100787
2018-01-10,1.19364,1.20181,1.19232,1.19474,151752,1,0,151752
2018-01-11,1.19474,1.20588,1.19293,1.20314,155197,1,0,155197
2018-01-12,1.20314,1.22185,1.20308,1.22,189447,1,0,189447
2018-01-15,1.21932,1.22965,1.21875,1.22626,155933,1,0,155933
2018-01-16,1.22626,1.22834,1.21951,1.22595,164847,1,0,164847
2018-01-17,1.22595,1.23231,1.21769,1.21843,204183,1,0,204183
2018-01-18,1.21843,1.22648,1.21652,1.22369,167647,1,0,167647
2018-01-19,1.22369,1.22954,1.22149,1.22224,160024,1,0,160024
2018-01-22,1.22698,1.22708,1.22139,1.22615,129818,1,0,129818
2018-01-23,1.22615,1.23062,1.2223,1.22983,147486,1,0,147486
2018-01-24,1.22979,1.24149,1.22912,1.2407,185845,1,0,185845
2018-01-25,1.2407,1.25378,1.23638,1.23926,308719,1,0,308719
2018-01-26,1.23926,1.24938,1.23699,1.24264,233580,0,0,233580
2018-01-29,1.24259,1.24321,1.23368,1.23813,184146,1,0,184146
2018-01-30,1.23813,1.2454,1.23348,1.24021,176386,1,0,176386
2018-01-31,1.24017,1.24748,1.2387,1.24132,208308,1,0,208308
2018-02-01,1.24132,1.2522,1.23854,1.25078,185833,1,0,185833
2018-02-02,1.25073,1.25181,1.24091,1.2456,196693,1,0,196693
2018-02-05,1.24344,1.24749,1.23625,1.23665,212883,1,0,212883
2018-02-06,1.23658,1.24346,1.23139,1.23768,298127,1,0,298127
2018-02-07,1.23768,1.2406,1.22457,1.22627,180783,1,0,180783
2018-02-08,1.2262,1.22948,1.22121,1.22467,237241,1,0,237241
2018-02-09,1.22467,1.22873,1.22054,1.22498,231451,1,0,231451
2018-02-12,1.22442,1.22973,1.2235,1.22906,136792,1,0,136792
2018-02-13,1.22906,1.2371,1.22845,1.23501,138960,1,0,138960
2018-02-14,1.23497,1.24651,1.22758,1.24494,197638,1,0,197638
2018-02-15,1.24491,1.25102,1.2448,1.25062,165673,1,0,165673
2018-02-16,1.25062,1.25554,1.23934,1.24105,171908,1,0,171908
2018-02-19,1.24008,1.24352,1.23691,1.2407,118021,1,0,118021
2018-02-20,1.24068,1.24123,1.23196,1.23367,150082,1,0,150082
2018-02-21,1.23367,1.23598,1.2281,1.22822,190080,1,0,190080
2018-02-22,1.22819,1.23521,1.22595,1.23292,150020,1,0,150020
2018-02-23,1.23292,1.23369,1.22798,1.22935,117594,1,0,117594
2018-02-26,1.2293,1.2355,1.22779,1.23167,127575,1,0,127575
2018-02-27,1.23167,1.23464,1.22215,1.22325,154107,1,0,154107
2018-02-28,1.22325,1.22416,1.21878,1.21929,141018,1,0,141018
2018-03-01,1.21924,1.22733,1.21546,1.22651,172658,1,0,172658
2018-03-02,1.22651,1.23359,1.22514,1.23184,153468,1,0,153468
2018-03-05,1.23324,1.23645,1.22688,1.23353,159863,1,0,159863
2018-03-06,1.23353,1.24201,1.2328,1.24033,148585,1,0,148585
2018-03-07,1.24033,1.24448,1.23848,1.24107,150782,1,0,150782
2018-03-08,1.24107,1.24462,1.22979,1.23103,175052,1,0,175052
2018-03-09,1.23102,1.23342,1.2273,1.23053,152115,1,0,152115
2018-03-12,1.23096,1.23456,1.22903,1.23346,103057,1,0,103057
2018-03-13,1.23344,1.24074,1.23145,1.23911,134095,1,0,134095
2018-03-14,1.23911,1.24125,1.23471,1.2368,132189,1,0,132189
2018-03-15,1.23678,1.23836,1.23003,1.23044,139664,1,0,139664
2018-03-16,1.23046,1.23362,1.226,1.22889,110331,1,0,110331
2018-03-19,1.22872,1.23588,1.2258,1.23341,117506,1,0,117506
2018-03-20,1.23341,1.23547,1.22396,1.22435,111873,1,0,111873
2018-03-21,1.22435,1.23498,1.22417,1.23385,145129,1,0,145129
2018-03-22,1.23385,1.23885,1.2285,1.23056,150537,1,0,150537
2018-03-23,1.23056,1.23733,1.23056,1.23514,125138,1,0,125138
2018-03-26,1.23497,1.24615,1.23485,1.24431,111194,1,0,111194
2018-03-27,1.24422,1.24763,1.23719,1.2402,124710,1,0,124710
2018-03-28,1.24017,1.24216,1.23,1.23073,123308,1,0,123308
2018-03-29,1.23079,1.23358,1.22839,1.23001,115697,1,0,115697
2018-03-30,1.22999,1.23304,1.22866,1.23218,54735,1,0,54735
2018-04-02,1.23192,1.2345,1.22811,1.23016,65570,1,0,65570
2018-04-03,1.23018,1.2336,1.22536,1.22699,106695,1,0,106695
2018-04-04,1.22699,1.23147,1.2257,1.22777,67672,1,0,67672
2018-04-05,1.22774,1.22903,1.22183,1.22401,66831,1,0,66831
2018-04-06,1.22394,1.22908,1.22149,1.22809,99875,1,0,99875
2018-04-09,1.22794,1.23309,1.22602,1.23204,77883,1,0,77883
