time,open,high,low,close,tick_volume,spread,real_volume,volume
2025-05-28 15:00:00,1.13179,1.13246,1.13115,1.13121,1084,0,0,1084
2025-05-28 15:15:00,1.1312,1.13198,1.13106,1.13128,903,0,0,903
2025-05-28 15:30:00,1.13137,1.13177,1.13074,1.13109,1236,0,0,1236
2025-05-28 15:45:00,1.13108,1.13182,1.13085,1.1311,1202,0,0,1202
2025-05-28 16:00:00,1.13111,1.13137,1.12976,1.13011,1526,0,0,1526
2025-05-28 16:15:00,1.13012,1.13085,1.12981,1.12989,1121,0,0,1121
2025-05-28 16:30:00,1.12997,1.13072,1.12969,1.13036,1726,0,0,1726
2025-05-28 16:45:00,1.13037,1.13126,1.12994,1.13088,1919,0,0,1919
2025-05-28 17:00:00,1.13086,1.13248,1.13085,1.13192,2044,0,0,2044
2025-05-28 17:15:00,1.13193,1.13244,1.1314,1.13206,1325,0,0,1325
2025-05-28 17:30:00,1.13204,1.13236,1.13146,1.13214,1446,0,0,1446
2025-05-28 17:45:00,1.13214,1.1323,1.13009,1.13022,2793,0,0,2793
2025-05-28 18:00:00,1.13024,1.13086,1.12975,1.12979,1678,0,0,1678
2025-05-28 18:15:00,1.12981,1.12998,1.12871,1.12957,1496,0,0,1496
2025-05-28 18:30:00,1.1296,1.12966,1.1287,1.1288,1187,0,0,1187
2025-05-28 18:45:00,1.12879,1.12901,1.12839,1.12847,952,0,0,952
2025-05-28 19:00:00,1.12846,1.1294,1.12841,1.12936,847,0,0,847
2025-05-28 19:15:00,1.12937,1.12967,1.12928,1.12953,641,0,0,641
2025-05-28 19:30:00,1.12954,1.12962,1.12907,1.12937,626,0,0,626
2025-05-28 19:45:00,1.1294,1.12946,1.12907,1.12941,524,0,0,524
2025-05-28 20:00:00,1.12939,1.12968,1.12926,1.12962,669,0,0,669
2025-05-28 20:15:00,1.12961,1.13004,1.12946,1.12972,541,0,0,541
2025-05-28 20:30:00,1.12971,1.13008,1.12915,1.12958,717,0,0,717
2025-05-28 20:45:00,1.12957,1.12969,1.12907,1.12915,551,0,0,551
2025-05-28 21:00:00,1.12919,1.12981,1.12885,1.12953,603,0,0,603
2025-05-28 21:15:00,1.12954,1.12957,1.12857,1.12859,592,0,0,592
2025-05-28 21:30:00,1.1286,1.12887,1.12844,1.12887,564,0,0,564
2025-05-28 21:45:00,1.12885,1.12949,1.12872,1.12936,764,0,0,764
2025-05-28 22:00:00,1.12935,1.12951,1.12911,1.12926,443,0,0,443
2025-05-28 22:15:00,1.12927,1.12957,1.12903,1.12907,423,0,0,423
2025-05-28 22:30:00,1.12908,1.12921,1.12887,1.12907,428,0,0,428
2025-05-28 22:45:00,1.12906,1.12916,1.12877,1.12896,468,0,0,468
2025-05-28 23:00:00,1.12896,1.12955,1.12893,1.12931,337,0,0,337
2025-05-28 23:15:00,1.12932,1.12958,1.12925,1.12952,555,0,0,555
2025-05-28 23:30:00,1.12954,1.12958,1.1291,1.12925,423,0,0,423
2025-05-28 23:45:00,1.12924,1.12946,1.12878,1.12906,542,5,0,542
2025-05-29 00:00:00,1.1291,1.12935,1.12908,1.12935,74,36,0,74
2025-05-29 00:15:00,1.12935,1.12947,1.12904,1.12914,57,42,0,57
2025-05-29 00:30:00,1.12926,1.12939,1.12912,1.12933,258,25,0,258
2025-05-29 00:45:00,1.1293,1.12943,1.12929,1.12935,87,44,0,87
2025-05-29 01:00:00,1.12936,1.12952,1.12923,1.12948,275,1,0,275
2025-05-29 01:15:00,1.1295,1.12972,1.12947,1.12963,178,1,0,178
2025-05-29 01:30:00,1.12964,1.12971,1.12906,1.12913,212,1,0,212
2025-05-29 01:45:00,1.12915,1.12925,1.12905,1.12917,336,1,0,336
2025-05-29 02:00:00,1.12918,1.12923,1.12767,1.12785,1217,1,0,1217
2025-05-29 02:15:00,1.12784,1.12789,1.12682,1.12697,1366,1,0,1366
2025-05-29 02:30:00,1.12699,1.12719,1.12103,1.12103,3003,1,0,3003
2025-05-29 02:45:00,1.12103,1.12438,1.12102,1.12297,2383,0,0,2383
2025-05-29 03:00:00,1.12295,1.12484,1.12232,1.12388,2791,0,0,2791
2025-05-29 03:15:00,1.12392,1.12509,1.12319,1.1248,2207,0,0,2207
2025-05-29 03:30:00,1.12477,1.12496,1.12376,1.12381,1664,0,0,1664
2025-05-29 03:45:00,1.12382,1.12446,1.12328,1.12348,1979,0,0,1979
2025-05-29 04:00:00,1.12346,1.12415,1.12235,1.12354,2341,0,0,2341
2025-05-29 04:15:00,1.12356,1.12434,1.12273,1.12413,1392,0,0,1392
2025-05-29 04:30:00,1.12414,1.12484,1.12394,1.12449,1095,0,0,1095
2025-05-29 04:45:00,1.12448,1.12533,1.12448,1.1252,1163,0,0,1163
2025-05-29 05:00:00,1.1251,1.12534,1.1242,1.12446,1107,0,0,1107
2025-05-29 05:15:00,1.12448,1.1248,1.12416,1.12473,960,0,0,960
2025-05-29 05:30:00,1.12474,1.12536,1.12465,1.12529,1051,0,0,1051
2025-05-29 05:45:00,1.12531,1.12571,1.12453,1.12459,971,0,0,971
2025-05-29 06:00:00,1.12458,1.12476,1.12427,1.12466,827,0,0,827
2025-05-29 06:15:00,1.12465,1.12549,1.12453,1.12508,747,0,0,747
2025-05-29 06:30:00,1.12507,1.12539,1.1248,1.12539,669,0,0,669
2025-05-29 06:45:00,1.1254,1.12564,1.12471,1.12485,729,0,0,729
2025-05-29 07:00:00,1.12482,1.12505,1.12441,1.12503,659,0,0,659
2025-05-29 07:15:00,1.12504,1.12544,1.12498,1.12536,541,0,0,541
2025-05-29 07:30:00,1.12538,1.12549,1.12501,1.12519,605,0,0,605
2025-05-29 07:45:00,1.12518,1.12534,1.12449,1.12478,630,0,0,630
2025-05-29 08:00:00,1.12479,1.12507,1.12442,1.12445,699,0,0,699
2025-05-29 08:15:00,1.12445,1.12501,1.12441,1.12459,625,0,0,625
2025-05-29 08:30:00,1.1246,1.12465,1.12402,1.1241,898,0,0,898
2025-05-29 08:45:00,1.12402,1.1244,1.1231,1.12438,1263,0,0,1263
2025-05-29 09:00:00,1.12438,1.12549,1.12424,1.12541,1411,0,0,1411
2025-05-29 09:15:00,1.1254,1.12723,1.12535,1.12707,1697,0,0,1697
2025-05-29 09:30:00,1.12704,1.12735,1.12651,1.12698,1227,0,0,1227
2025-05-29 09:45:00,1.12697,1.12739,1.12676,1.12714,1253,0,0,1253
2025-05-29 10:00:00,1.12713,1.12827,1.12713,1.12798,1590,0,0,1590
2025-05-29 10:15:00,1.12797,1.12808,1.12729,1.12775,1167,0,0,1167
2025-05-29 10:30:00,1.12783,1.12798,1.12721,1.12783,1326,0,0,1326
2025-05-29 10:45:00,1.12782,1.12798,1.12739,1.12756,1100,0,0,1100
2025-05-29 11:00:00,1.12755,1.12791,1.12704,1.12755,1019,0,0,1019
2025-05-29 11:15:00,1.12756,1.12756,1.12619,1.12638,1079,0,0,1079
2025-05-29 11:30:00,1.12639,1.12736,1.12637,1.12691,838,0,0,838
2025-05-29 11:45:00,1.1269,1.12747,1.12655,1.12719,825,0,0,825
2025-05-29 12:00:00,1.12718,1.12784,1.12714,1.12739,711,0,0,711
2025-05-29 12:15:00,1.12735,1.12789,1.12725,1.12774,726,0,0,726
2025-05-29 12:30:00,1.12773,1.12839,1.12762,1.12809,821,0,0,821
2025-05-29 12:45:00,1.12808,1.12825,1.1275,1.1278,795,0,0,795
2025-05-29 13:00:00,1.12779,1.12839,1.12766,1.12837,807,0,0,807
2025-05-29 13:15:00,1.12836,1.12915,1.12815,1.12894,961,0,0,961
2025-05-29 13:30:00,1.12895,1.12904,1.1281,1.1288,765,0,0,765
2025-05-29 13:45:00,1.1288,1.12892,1.12845,1.12864,735,0,0,735
2025-05-29 14:00:00,1.12861,1.12909,1.1283,1.12866,679,0,0,679
2025-05-29 14:15:00,1.12865,1.12871,1.12794,1.12855,699,0,0,699
2025-05-29 14:30:00,1.12854,1.12893,1.12734,1.12738,1044,0,0,1044
2025-05-29 14:45:00,1.1274,1.12776,1.1268,1.12711,1090,0,0,1090
2025-05-29 15:00:00,1.12715,1.12885,1.12715,1.12885,1657,0,0,1657
2025-05-29 15:15:00,1.12884,1.12991,1.12854,1.12954,1381,0,0,1381
2025-05-29 15:30:00,1.12952,1.1327,1.12904,1.13268,5967,0,0,5967
2025-05-29 15:45:00,1.13267,1.13498,1.13236,1.13494,3086,0,0,3086
2025-05-29 16:00:00,1.13495,1.13599,1.13443,1.13451,3176,0,0,3176
2025-05-29 16:15:00,1.13452,1.13557,1.13402,1.13548,1567,0,0,1567
2025-05-29 16:30:00,1.1355,1.13563,1.13392,1.13431,1710,0,0,1710
2025-05-29 16:45:00,1.1343,1.13529,1.13414,1.13515,1628,0,0,1628
2025-05-29 17:00:00,1.13516,1.13594,1.13493,1.13566,1672,0,0,1672
2025-05-29 17:15:00,1.13568,1.13696,1.13489,1.13495,1937,0,0,1937
2025-05-29 17:30:00,1.13498,1.13564,1.13429,1.13484,1435,0,0,1435
2025-05-29 17:45:00,1.13485,1.13596,1.13467,1.13501,1650,0,0,1650
2025-05-29 18:00:00,1.13502,1.13596,1.13489,1.13558,1255,0,0,1255
2025-05-29 18:15:00,1.1356,1.13637,1.13558,1.13625,1268,0,0,1268
2025-05-29 18:30:00,1.13629,1.13698,1.13613,1.13654,1264,0,0,1264
2025-05-29 18:45:00,1.13653,1.13707,1.13611,1.13698,1108,0,0,1108
2025-05-29 19:00:00,1.13697,1.13743,1.13667,1.13737,1158,0,0,1158
2025-05-29 19:15:00,1.13738,1.138,1.13674,1.13697,831,0,0,831
2025-05-29 19:30:00,1.13698,1.13784,1.13697,1.13762,664,0,0,664
2025-05-29 19:45:00,1.13761,1.13777,1.13704,1.13715,498,0,0,498
2025-05-29 20:00:00,1.13716,1.1372,1.13631,1.13642,703,0,0,703
2025-05-29 20:15:00,1.13646,1.13657,1.13618,1.1363,509,0,0,509
2025-05-29 20:30:00,1.13629,1.13846,1.13629,1.13829,665,1,0,665
2025-05-29 20:45:00,1.13833,1.13834,1.1375,1.1377,644,0,0,644
2025-05-29 21:00:00,1.13771,1.13844,1.13759,1.13828,732,0,0,732
2025-05-29 21:15:00,1.13827,1.13843,1.13764,1.13783,412,0,0,412
2025-05-29 21:30:00,1.13784,1.13821,1.13782,1.13818,449,0,0,449
2025-05-29 21:45:00,1.13817,1.13817,1.13743,1.13752,452,0,0,452
2025-05-29 22:00:00,1.1375,1.13784,1.13741,1.13752,555,0,0,555
2025-05-29 22:15:00,1.13753,1.13761,1.13681,1.13737,512,0,0,512
2025-05-29 22:30:00,1.13737,1.13739,1.13668,1.13688,392,0,0,392
2025-05-29 22:45:00,1.13687,1.13687,1.13662,1.13668,533,0,0,533
2025-05-29 23:00:00,1.13669,1.13674,1.13609,1.13653,327,0,0,327
2025-05-29 23:15:00,1.13654,1.13673,1.13645,1.13645,188,0,0,188
2025-05-29 23:30:00,1.13645,1.13671,1.13618,1.13671,225,0,0,225
2025-05-29 23:45:00,1.13672,1.13701,1.13637,1.13658,414,5,0,414
2025-05-30 00:00:00,1.13637,1.13707,1.13637,1.13688,154,48,0,154
2025-05-30 00:15:00,1.13683,1.13712,1.1366,1.13664,184,50,0,184
2025-05-30 00:30:00,1.13662,1.13685,1.13657,1.13676,250,24,0,250
2025-05-30 00:45:00,1.13677,1.1369,1.13664,1.13666,276,24,0,276
2025-05-30 01:00:00,1.13667,1.13698,1.13667,1.13696,693,1,0,693
2025-05-30 01:15:00,1.13695,1.1377,1.13689,1.13734,386,1,0,386
2025-05-30 01:30:00,1.13733,1.1374,1.13706,1.13739,338,1,0,338
2025-05-30 01:45:00,1.13738,1.13747,1.13692,1.13709,244,1,0,244
2025-05-30 02:00:00,1.13711,1.1374,1.13693,1.13716,352,1,0,352
2025-05-30 02:15:00,1.13726,1.13761,1.13726,1.13757,260,1,0,260
2025-05-30 02:30:00,1.13758,1.13789,1.13746,1.13783,510,1,0,510
2025-05-30 02:45:00,1.13782,1.13794,1.13764,1.1377,353,0,0,353
2025-05-30 03:00:00,1.13771,1.13809,1.13751,1.13759,892,0,0,892
2025-05-30 03:15:00,1.1376,1.13848,1.13754,1.13814,771,0,0,771
2025-05-30 03:30:00,1.13812,1.13814,1.13681,1.13699,689,0,0,689
2025-05-30 03:45:00,1.13699,1.13748,1.13643,1.13726,1316,0,0,1316
2025-05-30 04:00:00,1.13728,1.13868,1.13728,1.13795,1490,0,0,1490
2025-05-30 04:15:00,1.13796,1.13899,1.13765,1.13772,953,0,0,953
2025-05-30 04:30:00,1.13767,1.13771,1.13627,1.13633,1150,0,0,1150
2025-05-30 04:45:00,1.13634,1.13646,1.13524,1.13548,1290,0,0,1290
2025-05-30 05:00:00,1.1355,1.13591,1.13531,1.13546,1049,0,0,1049
2025-05-30 05:15:00,1.13547,1.13569,1.1352,1.13556,703,0,0,703
2025-05-30 05:30:00,1.13555,1.13556,1.13494,1.13526,651,0,0,651
2025-05-30 05:45:00,1.13526,1.1353,1.13485,1.13495,496,0,0,496
2025-05-30 06:00:00,1.13494,1.13567,1.13494,1.13541,664,0,0,664
2025-05-30 06:15:00,1.13545,1.13571,1.13532,1.13545,543,0,0,543
2025-05-30 06:30:00,1.13544,1.13567,1.1348,1.13485,602,0,0,602
2025-05-30 06:45:00,1.13486,1.13497,1.13459,1.13495,543,0,0,543
2025-05-30 07:00:00,1.13496,1.13536,1.1349,1.13499,607,0,0,607
2025-05-30 07:15:00,1.135,1.13536,1.13496,1.13521,653,0,0,653
2025-05-30 07:30:00,1.13519,1.13519,1.13487,1.135,464,0,0,464
2025-05-30 07:45:00,1.13501,1.13519,1.13457,1.13461,571,0,0,571
2025-05-30 08:00:00,1.13461,1.13483,1.1343,1.13458,575,0,0,575
2025-05-30 08:15:00,1.13459,1.13489,1.13438,1.13464,537,0,0,537
2025-05-30 08:30:00,1.13465,1.13507,1.13443,1.1348,479,0,0,479
2025-05-30 08:45:00,1.13481,1.13545,1.1344,1.13511,666,0,0,666
2025-05-30 09:00:00,1.13512,1.13516,1.13361,1.13377,1058,0,0,1058
2025-05-30 09:15:00,1.13376,1.13443,1.13361,1.13418,937,0,0,937
2025-05-30 09:30:00,1.13417,1.13489,1.13399,1.13483,993,0,0,993
2025-05-30 09:45:00,1.13484,1.1352,1.13447,1.13465,813,0,0,813
2025-05-30 10:00:00,1.13464,1.13481,1.13308,1.13339,1669,0,0,1669
2025-05-30 10:15:00,1.1334,1.13344,1.13279,1.13331,1263,0,0,1263
2025-05-30 10:30:00,1.13332,1.13394,1.13311,1.13377,1191,0,0,1191
2025-05-30 10:45:00,1.13376,1.13431,1.13335,1.1338,1441,0,0,1441
2025-05-30 11:00:00,1.13377,1.13447,1.13285,1.13303,1538,0,0,1538
2025-05-30 11:15:00,1.13303,1.13394,1.13281,1.13382,1088,0,0,1088
2025-05-30 11:30:00,1.13382,1.13442,1.13377,1.13415,956,0,0,956
2025-05-30 11:45:00,1.13414,1.13416,1.13235,1.1324,996,0,0,996
2025-05-30 12:00:00,1.13235,1.13322,1.13232,1.133,813,0,0,813
2025-05-30 12:15:00,1.13302,1.13308,1.13245,1.13286,798,0,0,798
2025-05-30 12:30:00,1.13285,1.13318,1.13234,1.13301,808,0,0,808
2025-05-30 12:45:00,1.13299,1.1331,1.13238,1.13255,919,0,0,919
2025-05-30 13:00:00,1.13256,1.13348,1.13253,1.13348,740,0,0,740
2025-05-30 13:15:00,1.13347,1.13348,1.1326,1.1329,717,0,0,717
2025-05-30 13:30:00,1.13289,1.13341,1.13254,1.13301,660,0,0,660
2025-05-30 13:45:00,1.13303,1.13314,1.13248,1.13275,794,0,0,794
2025-05-30 14:00:00,1.13274,1.13335,1.13267,1.13292,816,0,0,816
2025-05-30 14:15:00,1.13293,1.13341,1.13293,1.13319,705,0,0,705
2025-05-30 14:30:00,1.13318,1.13356,1.13293,1.13308,709,0,0,709
2025-05-30 14:45:00,1.13307,1.13388,1.13231,1.13382,856,0,0,856
2025-05-30 15:00:00,1.13383,1.13525,1.13346,1.13483,2600,0,0,2600
2025-05-30 15:15:00,1.13481,1.1354,1.13411,1.13503,1772,0,0,1772
2025-05-30 15:30:00,1.13503,1.13587,1.13397,1.13563,4563,0,0,4563
2025-05-30 15:45:00,1.13562,1.13577,1.13396,1.13461,1534,0,0,1534
2025-05-30 16:00:00,1.13465,1.1348,1.13404,1.13432,1377,0,0,1377
2025-05-30 16:15:00,1.13432,1.13454,1.13266,1.13302,1347,0,0,1347
2025-05-30 16:30:00,1.13304,1.13378,1.13227,1.13231,1603,0,0,1603
2025-05-30 16:45:00,1.13231,1.13278,1.13125,1.13162,2039,0,0,2039
2025-05-30 17:00:00,1.13156,1.13352,1.13137,1.13305,1960,0,0,1960
2025-05-30 17:15:00,1.13302,1.13376,1.13252,1.133,1369,0,0,1369
2025-05-30 17:30:00,1.13302,1.13367,1.1326,1.13344,1943,0,0,1943
2025-05-30 17:45:00,1.13345,1.13546,1.13242,1.13522,4218,0,0,4218
