time,open,high,low,close,tick_volume,spread,real_volume,volume
2025-07-31 20:00:00,1.32221,1.32269,1.31988,1.3205,10642,6,0,10642
2025-08-01 00:00:00,1.32028,1.32129,1.31978,1.32099,6890,6,0,6890
2025-08-01 04:00:00,1.32098,1.32127,1.31894,1.31988,9936,6,0,9936
2025-08-01 08:00:00,1.31988,1.32128,1.31598,1.31601,11029,6,0,11029
2025-08-01 12:00:00,1.31601,1.3303,1.31391,1.32843,15476,6,0,15476
2025-08-01 16:00:00,1.32848,1.33102,1.32421,1.3245,27000,6,0,27000
2025-08-01 20:00:00,1.32448,1.32918,1.32154,1.32825,12974,6,0,12974
2025-08-04 00:00:00,1.32742,1.32929,1.32577,1.32613,8035,6,0,8035
2025-08-04 04:00:00,1.32613,1.32895,1.32532,1.32777,8945,6,0,8945
2025-08-04 08:00:00,1.32777,1.32909,1.32641,1.32776,12434,6,0,12434
2025-08-04 12:00:00,1.32771,1.33138,1.32703,1.32975,14059,6,0,14059
2025-08-04 16:00:00,1.32975,1.33305,1.32773,1.32851,17835,6,0,17835
2025-08-04 20:00:00,1.32852,1.32875,1.32718,1.32875,8880,6,0,8880
2025-08-05 00:00:00,1.32831,1.33026,1.32755,1.32988,5000,6,0,5000
2025-08-05 04:00:00,1.32988,1.32993,1.32752,1.32853,7349,6,0,7349
2025-08-05 08:00:00,1.32853,1.32953,1.3259,1.32796,11334,6,0,11334
2025-08-05 12:00:00,1.32798,1.32948,1.32659,1.32814,12366,6,0,12366
2025-08-05 16:00:00,1.32814,1.33159,1.32682,1.3309,18248,6,0,18248
2025-08-05 20:00:00,1.33093,1.33152,1.32885,1.3298,10341,6,0,10341
2025-08-06 00:00:00,1.32934,1.33056,1.32886,1.33006,4066,6,0,4066
2025-08-06 04:00:00,1.33006,1.33136,1.32944,1.33114,5876,6,0,5876
2025-08-06 08:00:00,1.33113,1.33114,1.32811,1.32837,9509,6,0,9509
2025-08-06 12:00:00,1.32833,1.33298,1.3283,1.33169,12006,6,0,12006
2025-08-06 16:00:00,1.33169,1.33619,1.33124,1.33468,16103,6,0,16103
2025-08-06 20:00:00,1.33468,1.33681,1.33446,1.33554,9040,6,0,9040
2025-08-07 00:00:00,1.33532,1.33603,1.33434,1.33474,4446,6,0,4446
2025-08-07 04:00:00,1.33473,1.33686,1.33455,1.33677,6087,6,0,6087
2025-08-07 08:00:00,1.33677,1.33798,1.33629,1.3369,10355,6,0,10355
2025-08-07 12:00:00,1.33689,1.34363,1.33647,1.34205,14803,6,0,14803
2025-08-07 16:00:00,1.34205,1.34342,1.33904,1.34295,16973,6,0,16973
