time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-09-05 08:00:00,146.659,147.077,146.649,146.999,12735,1,0,12735
2023-09-05 12:00:00,146.999,147.493,146.947,147.189,13084,1,0,13084
2023-09-05 16:00:00,147.19,147.725,147.131,147.627,16723,1,0,16723
2023-09-05 20:00:00,147.625,147.794,147.573,147.691,5705,3,0,5705
2023-09-06 00:00:00,147.701,147.81,147.356,147.766,5084,3,0,5084
2023-09-06 04:00:00,147.766,147.769,147.389,147.39,7054,1,0,7054
2023-09-06 08:00:00,147.383,147.488,147.009,147.384,13236,1,0,13236
2023-09-06 12:00:00,147.384,147.586,147.199,147.265,11348,1,0,11348
2023-09-06 16:00:00,147.266,147.698,147.124,147.584,18380,1,0,18380
2023-09-06 20:00:00,147.583,147.738,147.48,147.63,6338,3,0,6338
2023-09-07 00:00:00,147.621,147.865,147.506,147.754,4884,3,0,4884
2023-09-07 04:00:00,147.754,147.799,147.489,147.556,6513,1,0,6513
2023-09-07 08:00:00,147.557,147.673,147.357,147.448,10285,1,0,10285
2023-09-07 12:00:00,147.446,147.606,147.212,147.275,12809,1,0,12809
2023-09-07 16:00:00,147.276,147.427,147.035,147.082,16758,1,0,16758
2023-09-07 20:00:00,147.081,147.283,147.081,147.264,5538,3,0,5538
2023-09-08 00:00:00,147.253,147.377,146.578,146.909,6843,3,0,6843
2023-09-08 04:00:00,146.911,147.335,146.9,147.22,10357,1,0,10357
2023-09-08 08:00:00,147.22,147.449,147.046,147.402,11460,1,0,11460
2023-09-08 12:00:00,147.403,147.565,147.236,147.544,10579,1,0,10579
2023-09-08 16:00:00,147.543,147.77,147.316,147.758,13412,1,0,13412
2023-09-08 20:00:00,147.759,147.862,147.699,147.793,5273,3,0,5273
2023-09-11 00:00:00,146.925,147.262,146.655,146.948,10871,3,0,10871
2023-09-11 04:00:00,146.952,147.086,146.147,146.193,16223,1,0,16223
2023-09-11 08:00:00,146.194,146.483,145.895,146.332,17069,1,0,17069
2023-09-11 12:00:00,146.336,146.976,146.26,146.486,13734,1,0,13734
2023-09-11 16:00:00,146.487,146.584,146.19,146.464,14533,1,0,14533
2023-09-11 20:00:00,146.465,146.595,146.424,146.56,6873,3,0,6873
2023-09-12 00:00:00,146.559,146.795,146.453,146.682,5608,3,0,5608
2023-09-12 04:00:00,146.678,146.733,146.432,146.724,8234,1,0,8234
2023-09-12 08:00:00,146.726,146.937,146.652,146.783,11164,1,0,11164
2023-09-12 12:00:00,146.781,147.154,146.759,147.113,10314,1,0,10314
2023-09-12 16:00:00,147.117,147.227,147.051,147.169,10270,1,0,10270
2023-09-12 20:00:00,147.168,147.218,146.978,147.066,5350,3,0,5350
2023-09-13 00:00:00,147.058,147.305,147.009,147.296,4804,3,0,4804
2023-09-13 04:00:00,147.297,147.44,147.262,147.387,8550,1,0,8550
2023-09-13 08:00:00,147.386,147.396,147.2,147.246,13361,1,0,13361
2023-09-13 12:00:00,147.245,147.732,147.168,147.424,14305,1,0,14305
2023-09-13 16:00:00,147.426,147.594,147.243,147.338,16519,1,0,16519
2023-09-13 20:00:00,147.338,147.502,147.159,147.435,7741,3,0,7741
