time,open,high,low,close,tick_volume,spread,real_volume,volume
2025-05-29 18:45:00,144.188,144.261,144.051,144.094,1204,6,0,1204
2025-05-29 19:00:00,144.093,144.133,144.048,144.092,1310,6,0,1310
2025-05-29 19:15:00,144.092,144.171,144.043,144.151,871,8,0,871
2025-05-29 19:30:00,144.149,144.16,144.089,144.111,688,8,0,688
2025-05-29 19:45:00,144.112,144.158,144.06,144.143,728,8,0,728
2025-05-29 20:00:00,144.143,144.224,144.131,144.206,858,8,0,858
2025-05-29 20:15:00,144.206,144.254,144.194,144.247,709,6,0,709
2025-05-29 20:30:00,144.246,144.25,143.977,144.0,706,7,0,706
2025-05-29 20:45:00,144.0,144.082,143.995,144.047,950,7,0,950
2025-05-29 21:00:00,144.047,144.051,143.965,143.987,758,6,0,758
2025-05-29 21:15:00,143.986,144.071,143.958,144.02,775,6,0,775
2025-05-29 21:30:00,144.02,144.06,143.986,143.988,634,6,0,634
2025-05-29 21:45:00,143.988,144.03,143.978,143.998,616,7,0,616
2025-05-29 22:00:00,143.999,144.073,143.977,144.064,672,6,0,672
2025-05-29 22:15:00,144.064,144.117,144.029,144.036,648,6,0,648
2025-05-29 22:30:00,144.035,144.142,144.035,144.107,688,6,0,688
2025-05-29 22:45:00,144.107,144.141,144.077,144.134,751,7,0,751
2025-05-29 23:00:00,144.132,144.166,144.098,144.152,454,7,0,454
2025-05-29 23:15:00,144.152,144.201,144.152,144.191,331,7,0,331
2025-05-29 23:30:00,144.192,144.239,144.171,144.174,481,8,0,481
2025-05-29 23:45:00,144.174,144.176,144.139,144.157,241,17,0,241
2025-05-30 00:00:00,144.124,144.193,144.124,144.126,98,76,0,98
2025-05-30 00:15:00,144.126,144.126,144.092,144.107,63,76,0,63
2025-05-30 00:30:00,144.107,144.123,144.098,144.102,79,75,0,79
2025-05-30 00:45:00,144.102,144.115,144.097,144.099,101,75,0,101
2025-05-30 01:00:00,144.115,144.159,144.069,144.085,284,8,0,284
2025-05-30 01:15:00,144.085,144.087,143.867,143.916,394,7,0,394
2025-05-30 01:30:00,143.916,144.013,143.916,143.971,395,7,0,395
2025-05-30 01:45:00,143.971,144.061,143.956,144.012,241,6,0,241
2025-05-30 02:00:00,144.007,144.089,143.953,144.043,348,7,0,348
2025-05-30 02:15:00,144.029,144.073,143.904,143.908,358,6,0,358
2025-05-30 02:30:00,143.908,143.913,143.739,143.797,624,9,0,624
2025-05-30 02:45:00,143.797,143.859,143.75,143.75,687,7,0,687
2025-05-30 03:00:00,143.749,143.865,143.584,143.838,1128,9,0,1128
2025-05-30 03:15:00,143.838,143.842,143.638,143.679,807,7,0,807
2025-05-30 03:30:00,143.678,143.941,143.674,143.882,824,7,0,824
2025-05-30 03:45:00,143.884,144.032,143.673,143.771,1385,7,0,1385
2025-05-30 04:00:00,143.77,143.77,143.51,143.586,1320,8,0,1320
2025-05-30 04:15:00,143.586,143.667,143.439,143.662,885,6,0,885
2025-05-30 04:30:00,143.663,143.841,143.663,143.825,1037,7,0,1037
2025-05-30 04:45:00,143.825,143.939,143.76,143.902,982,6,0,982
2025-05-30 05:00:00,143.902,143.981,143.859,143.953,980,7,0,980
2025-05-30 05:15:00,143.953,143.992,143.84,143.856,729,6,0,729
2025-05-30 05:30:00,143.856,143.938,143.823,143.885,833,7,0,833
2025-05-30 05:45:00,143.885,143.962,143.87,143.924,738,6,0,738
2025-05-30 06:00:00,143.924,143.927,143.861,143.909,676,6,0,676
2025-05-30 06:15:00,143.909,143.915,143.83,143.886,595,7,0,595
2025-05-30 06:30:00,143.886,143.936,143.874,143.933,561,6,0,561
2025-05-30 06:45:00,143.934,143.982,143.842,143.855,609,6,0,609
2025-05-30 07:00:00,143.856,143.862,143.729,143.811,739,8,0,739
2025-05-30 07:15:00,143.81,143.821,143.691,143.708,682,7,0,682
2025-05-30 07:30:00,143.708,143.796,143.708,143.744,558,6,0,558
2025-05-30 07:45:00,143.744,143.813,143.729,143.776,617,6,0,617
2025-05-30 08:00:00,143.775,143.963,143.775,143.937,761,6,0,761
2025-05-30 08:15:00,143.937,143.939,143.838,143.876,684,6,0,684
2025-05-30 08:30:00,143.881,143.901,143.831,143.876,674,6,0,674
2025-05-30 08:45:00,143.876,143.926,143.708,143.824,732,8,0,732
2025-05-30 09:00:00,143.824,144.137,143.802,144.113,1204,7,0,1204
2025-05-30 09:15:00,144.113,144.124,143.894,143.92,991,6,0,991
2025-05-30 09:30:00,143.921,143.976,143.768,143.812,1099,6,0,1099
2025-05-30 09:45:00,143.811,143.865,143.76,143.855,842,6,0,842
2025-05-30 10:00:00,143.855,144.086,143.832,144.001,1365,6,0,1365
2025-05-30 10:15:00,144.001,144.157,144.0,144.09,1145,6,0,1145
2025-05-30 10:30:00,144.09,144.123,143.989,144.062,1049,6,0,1049
2025-05-30 10:45:00,144.062,144.135,143.964,144.024,1152,6,0,1152
2025-05-30 11:00:00,144.042,144.094,143.899,144.081,1219,6,0,1219
2025-05-30 11:15:00,144.082,144.118,143.945,143.96,1099,6,0,1099
2025-05-30 11:30:00,143.96,143.998,143.92,143.93,948,6,0,948
2025-05-30 11:45:00,143.93,144.064,143.928,144.05,990,6,0,990
2025-05-30 12:00:00,144.051,144.135,144.001,144.017,862,6,0,862
2025-05-30 12:15:00,144.015,144.131,144.01,144.088,877,6,0,877
2025-05-30 12:30:00,144.095,144.221,144.011,144.056,954,6,0,954
2025-05-30 12:45:00,144.059,144.068,144.003,144.043,946,6,0,946
2025-05-30 13:00:00,144.043,144.055,143.789,143.79,1005,6,0,1005
2025-05-30 13:15:00,143.79,143.94,143.79,143.914,809,6,0,809
2025-05-30 13:30:00,143.914,143.941,143.857,143.883,792,6,0,792
2025-05-30 13:45:00,143.881,143.966,143.871,143.927,871,6,0,871
2025-05-30 14:00:00,143.927,143.99,143.844,143.99,936,6,0,936
2025-05-30 14:15:00,143.99,144.031,143.957,144.01,794,6,0,794
2025-05-30 14:30:00,144.012,144.03,143.953,143.983,722,6,0,722
2025-05-30 14:45:00,143.981,144.011,143.811,143.847,881,6,0,881
2025-05-30 15:00:00,143.849,143.863,143.467,143.521,1951,6,0,1951
2025-05-30 15:15:00,143.517,143.691,143.496,143.546,1710,7,0,1710
2025-05-30 15:30:00,143.538,143.722,143.522,143.572,1766,6,0,1766
2025-05-30 15:45:00,143.572,143.781,143.544,143.722,1421,6,0,1421
2025-05-30 16:00:00,143.722,143.823,143.708,143.75,1346,6,0,1346
2025-05-30 16:15:00,143.75,143.993,143.746,143.993,1251,6,0,1251
2025-05-30 16:30:00,143.989,144.011,143.874,143.999,1490,6,0,1490
2025-05-30 16:45:00,143.998,144.128,143.934,143.993,1539,6,0,1539
2025-05-30 17:00:00,143.993,144.065,143.842,143.876,1792,6,0,1792
2025-05-30 17:15:00,143.876,143.914,143.807,143.89,1388,6,0,1388
2025-05-30 17:30:00,143.885,144.266,143.824,144.221,1637,7,0,1637
2025-05-30 17:45:00,144.221,144.44,144.198,144.262,2020,6,0,2020
2025-05-30 18:00:00,144.263,144.332,144.145,144.181,1691,6,0,1691
2025-05-30 18:15:00,144.183,144.279,144.106,144.208,1359,6,0,1359
2025-05-30 18:30:00,144.204,144.215,144.073,144.102,1257,6,0,1257
2025-05-30 18:45:00,144.102,144.233,144.074,144.183,1112,6,0,1112
2025-05-30 19:00:00,144.183,144.186,144.047,144.064,962,6,0,962
2025-05-30 19:15:00,144.064,144.085,143.957,143.975,1006,6,0,1006
2025-05-30 19:30:00,143.975,144.035,143.926,143.974,1269,8,0,1269
2025-05-30 19:45:00,143.974,143.995,143.883,143.896,1011,7,0,1011
2025-05-30 20:00:00,143.896,143.95,143.812,143.817,903,7,0,903
2025-05-30 20:15:00,143.817,143.886,143.789,143.875,860,8,0,860
2025-05-30 20:30:00,143.875,143.887,143.794,143.804,688,6,0,688
2025-05-30 20:45:00,143.803,143.872,143.794,143.871,617,6,0,617
2025-05-30 21:00:00,143.871,143.888,143.831,143.853,672,6,0,672
2025-05-30 21:15:00,143.853,143.939,143.844,143.884,907,6,0,907
2025-05-30 21:30:00,143.884,143.909,143.852,143.879,774,6,0,774
2025-05-30 21:45:00,143.879,143.937,143.863,143.882,715,6,0,715
2025-05-30 22:00:00,143.882,143.935,143.882,143.906,593,6,0,593
2025-05-30 22:15:00,143.906,143.969,143.902,143.967,419,6,0,419
2025-05-30 22:30:00,143.967,144.001,143.931,143.968,510,8,0,510
2025-05-30 22:45:00,143.968,144.0,143.867,143.875,766,7,0,766
2025-05-30 23:00:00,143.87,143.966,143.868,143.949,658,7,0,658
2025-05-30 23:15:00,143.949,144.019,143.94,144.017,330,7,0,330
2025-05-30 23:30:00,144.018,144.021,143.979,144.003,209,8,0,209
2025-05-30 23:45:00,144.003,144.082,143.983,144.047,247,17,0,247
2025-06-02 00:00:00,143.791,143.816,143.755,143.814,131,137,0,131
2025-06-02 00:15:00,143.814,143.89,143.796,143.862,237,110,0,237
2025-06-02 00:30:00,143.865,143.889,143.788,143.838,457,99,0,457
2025-06-02 00:45:00,143.838,143.843,143.764,143.791,327,75,0,327
2025-06-02 01:00:00,143.791,143.91,143.748,143.896,332,9,0,332
2025-06-02 01:15:00,143.896,143.953,143.859,143.928,404,8,0,404
2025-06-02 01:30:00,143.929,143.985,143.928,143.964,364,8,0,364
2025-06-02 01:45:00,143.964,143.973,143.838,143.839,340,8,0,340
2025-06-02 02:00:00,143.833,143.848,143.766,143.81,454,8,0,454
2025-06-02 02:15:00,143.81,143.861,143.788,143.811,398,6,0,398
2025-06-02 02:30:00,143.811,143.847,143.788,143.813,461,8,0,461
2025-06-02 02:45:00,143.813,143.833,143.723,143.791,624,7,0,624
2025-06-02 03:00:00,143.792,143.795,143.569,143.602,1238,9,0,1238
2025-06-02 03:15:00,143.602,143.634,143.573,143.617,954,8,0,954
2025-06-02 03:30:00,143.617,143.729,143.599,143.637,913,7,0,913
2025-06-02 03:45:00,143.637,143.674,143.524,143.534,1167,8,0,1167
2025-06-02 04:00:00,143.528,143.565,143.487,143.541,1043,8,0,1043
2025-06-02 04:15:00,143.54,143.592,143.351,143.373,1098,6,0,1098
2025-06-02 04:30:00,143.37,143.453,143.326,143.369,1139,6,0,1139
2025-06-02 04:45:00,143.369,143.47,143.322,143.464,1120,6,0,1120
2025-06-02 05:00:00,143.465,143.538,143.416,143.537,940,6,0,940
2025-06-02 05:15:00,143.537,143.594,143.495,143.572,730,6,0,730
2025-06-02 05:30:00,143.572,143.573,143.516,143.534,623,6,0,623
2025-06-02 05:45:00,143.534,143.561,143.498,143.524,630,6,0,630
2025-06-02 06:00:00,143.522,143.621,143.506,143.607,765,7,0,765
2025-06-02 06:15:00,143.607,143.607,143.539,143.589,641,6,0,641
2025-06-02 06:30:00,143.589,143.641,143.589,143.622,712,6,0,712
2025-06-02 06:45:00,143.622,143.633,143.517,143.521,621,6,0,621
2025-06-02 07:00:00,143.519,143.59,143.51,143.584,777,6,0,777
2025-06-02 07:15:00,143.583,143.609,143.541,143.559,742,6,0,742
2025-06-02 07:30:00,143.559,143.598,143.51,143.52,673,6,0,673
2025-06-02 07:45:00,143.52,143.576,143.51,143.537,816,6,0,816
2025-06-02 08:00:00,143.538,143.56,143.449,143.457,944,6,0,944
2025-06-02 08:15:00,143.457,143.484,143.432,143.446,803,6,0,803
2025-06-02 08:30:00,143.453,143.503,143.397,143.397,823,6,0,823
2025-06-02 08:45:00,143.397,143.397,143.303,143.347,914,6,0,914
2025-06-02 09:00:00,143.347,143.377,143.3,143.313,1153,6,0,1153
2025-06-02 09:15:00,143.313,143.313,143.211,143.216,1126,6,0,1126
2025-06-02 09:30:00,143.215,143.215,143.13,143.146,1085,6,0,1085
2025-06-02 09:45:00,143.145,143.26,143.133,143.223,910,6,0,910
2025-06-02 10:00:00,143.223,143.279,143.09,143.102,1110,6,0,1110
2025-06-02 10:15:00,143.102,143.119,143.006,143.018,1217,6,0,1217
2025-06-02 10:30:00,143.017,143.082,142.975,142.997,1019,6,0,1019
2025-06-02 10:45:00,142.997,142.997,142.824,142.901,1314,6,0,1314
2025-06-02 11:00:00,142.901,142.949,142.832,142.844,1124,6,0,1124
2025-06-02 11:15:00,142.843,142.94,142.791,142.899,1089,6,0,1089
2025-06-02 11:30:00,142.89,142.939,142.821,142.893,1072,6,0,1072
2025-06-02 11:45:00,142.893,142.943,142.84,142.928,1088,6,0,1088
2025-06-02 12:00:00,142.928,142.93,142.783,142.804,1226,6,0,1226
2025-06-02 12:15:00,142.804,142.85,142.776,142.843,1075,6,0,1075
2025-06-02 12:30:00,142.843,142.867,142.808,142.838,1001,6,0,1001
2025-06-02 12:45:00,142.835,142.937,142.821,142.937,940,6,0,940
2025-06-02 13:00:00,142.937,142.973,142.873,142.942,1032,6,0,1032
2025-06-02 13:15:00,142.942,142.942,142.75,142.799,842,6,0,842
2025-06-02 13:30:00,142.799,142.884,142.799,142.838,884,6,0,884
2025-06-02 13:45:00,142.838,142.87,142.759,142.806,840,6,0,840
2025-06-02 14:00:00,142.806,142.853,142.667,142.712,1018,8,0,1018
2025-06-02 14:15:00,142.711,142.712,142.619,142.647,890,6,0,890
2025-06-02 14:30:00,142.643,142.706,142.637,142.703,821,6,0,821
2025-06-02 14:45:00,142.703,142.765,142.697,142.759,826,6,0,826
2025-06-02 15:00:00,142.759,142.811,142.709,142.775,983,6,0,983
2025-06-02 15:15:00,142.775,142.83,142.756,142.818,798,6,0,798
2025-06-02 15:30:00,142.818,142.818,142.682,142.785,961,8,0,961
2025-06-02 15:45:00,142.785,142.892,142.782,142.827,1063,6,0,1063
2025-06-02 16:00:00,142.827,142.918,142.824,142.86,914,6,0,914
2025-06-02 16:15:00,142.86,142.982,142.852,142.97,1072,7,0,1072
2025-06-02 16:30:00,142.97,143.069,142.951,142.957,1402,7,0,1402
2025-06-02 16:45:00,142.963,142.963,142.842,142.897,1536,9,0,1536
2025-06-02 17:00:00,142.766,142.787,142.535,142.612,2290,8,0,2290
2025-06-02 17:15:00,142.611,142.721,142.578,142.625,1618,7,0,1618
2025-06-02 17:30:00,142.625,142.733,142.563,142.653,1763,7,0,1763
2025-06-02 17:45:00,142.652,142.718,142.572,142.668,1538,6,0,1538
2025-06-02 18:00:00,142.673,142.763,142.669,142.705,1598,7,0,1598
2025-06-02 18:15:00,142.705,142.735,142.626,142.735,1325,6,0,1325
2025-06-02 18:30:00,142.735,142.781,142.698,142.74,1286,6,0,1286
2025-06-02 18:45:00,142.741,142.842,142.741,142.772,1033,7,0,1033
2025-06-02 19:00:00,142.772,142.878,142.758,142.829,1076,7,0,1076
