trade_id,timestamp,strategy_name,strategy_version,ict_pattern,pattern_confidence,pattern_quality,confluence_score,confluences_str,market_session,session_phase,smart_money_enhanced,entry_method,entry_price,risk_percentage,initial_risk_reward,actual_risk_reward,net_pnl,pnl_pips,exit_method,trade_quality_score,execution_quality
ICT_20250729_180306_SIL,2025-07-29T18:03:06.895843,SILVER_BULLET_CLASSIC,1.0,SILVER_BULLET,0.8949831707483917,B,0.8024095460666908,"PATTERN_QUALITY_HIGH,INSTITUTIONAL_FLOW,MULTI_TIMEFRAME_SYNC,SESSION_OPTIMIZATION,LIQUIDITY_POOL_PROXIMITY",NEW_YORK,mid,True,KILLZONE_ENTRY,1.1654138431503172,0.029765767901901503,-3.2648535794410036,0.5810615755725903,-60.223655273983,-15.194760686549701,STOP_LOSS,61.90973377411902,average
ICT_20250803_180306_ORD,2025-08-03T18:03:06.898652,ORDER_BLOCK_BULLISH,1.5,ORDER_BLOCK_BULLISH,0.8897538019958345,B,0.7725267376464129,"SESSION_OPTIMIZATION,PATTERN_QUALITY_HIGH,STRUCTURE_ALIGNMENT,VOLUME_CONFIRMATION",NEW_YORK,mid,False,ORDER_BLOCK_RETEST,1.166080859528467,0.019251079065524986,-24.34335566605233,2.7658103854234954,98.30650904777043,40.30136195384742,TAKE_PROFIT,91.00578250103536,excellent
ICT_20250724_180306_ORD,2025-07-24T18:03:06.899470,ORDER_BLOCK_BULLISH,1.5,ORDER_BLOCK_BULLISH,0.6546577188289219,C,0.8032057692037732,"SESSION_OPTIMIZATION,STRUCTURE_ALIGNMENT,VOLUME_CONFIRMATION",NEW_YORK,mid,False,ORDER_BLOCK_RETEST,1.1759104223619812,0.023408153723644645,0.0,0.7498591148280122,-133.29373906785835,-10.34351968055447,STOP_LOSS,44.719875794961986,poor
ICT_20250806_180306_JUD,2025-08-06T18:03:06.900090,JUDAS_SWING_LONDON,1.0,JUDAS_SWING,0.8259517198389194,B,0.768353549451483,"SESSION_OPTIMIZATION,LIQUIDITY_POOL_PROXIMITY,INSTITUTIONAL_FLOW,PATTERN_QUALITY_HIGH",NEW_YORK,mid,True,PATTERN_BREAKOUT,1.1771392498694142,0.029937072274508758,0.0,2.4728770056462404,99.01299161376829,21.247184544514802,TAKE_PROFIT,83.98739033145466,good
ICT_20250715_180306_ORD,2025-07-15T18:03:06.900607,ORDER_BLOCK_BULLISH,1.5,ORDER_BLOCK_BULLISH,0.835768525866172,B,0.8078562176382948,"SESSION_OPTIMIZATION,PATTERN_QUALITY_HIGH,STRUCTURE_ALIGNMENT,VOLUME_CONFIRMATION",NEW_YORK,mid,False,ORDER_BLOCK_RETEST,1.179118290698483,0.027692185185148877,0.0,0.1800280402320806,-104.70531234026899,-17.19743153165734,STOP_LOSS,60.26946121694253,average
ICT_20250720_180306_JUD,2025-07-20T18:03:06.901085,JUDAS_SWING_LONDON,1.0,JUDAS_SWING,0.8650361705679585,B,0.7632342672000769,"SESSION_OPTIMIZATION,PATTERN_QUALITY_HIGH",NEW_YORK,mid,False,PATTERN_BREAKOUT,1.174132012823475,0.029820183489847565,0.0,0.5001445136934115,-142.5595711037503,-15.27091627685738,STOP_LOSS,60.03194179704067,average
ICT_20250724_180306_LIQ,2025-07-24T18:03:06.901573,LIQUIDITY_GRAB_BEARISH,1.2,LIQUIDITY_GRAB_BULLISH,0.8283718690442899,B,0.8005127925695771,"PATTERN_QUALITY_HIGH,INSTITUTIONAL_FLOW,SESSION_OPTIMIZATION,MOMENTUM_ALIGNMENT,LIQUIDITY_POOL_PROXIMITY",NEW_YORK,mid,True,LIQUIDITY_REVERSAL,1.1765974853391434,0.012904276821726294,0.0,2.579286951203115,118.4970808782679,24.863289983848865,TAKE_PROFIT,89.86397588556812,excellent
ICT_20250805_180306_ORD,2025-08-05T18:03:06.902126,ORDER_BLOCK_BULLISH,1.5,ORDER_BLOCK_BULLISH,0.8305100770449796,B,0.8192034259381128,"PATTERN_QUALITY_HIGH,STRUCTURE_ALIGNMENT,VOLUME_CONFIRMATION,SESSION_OPTIMIZATION,RISK_REWARD_FAVORABLE",NEW_YORK,mid,False,ORDER_BLOCK_RETEST,1.1675337790793199,0.01633336651427587,14.86739719548055,0.5770682727065412,-149.87133232949014,-23.69686716211489,STOP_LOSS,60.39538795980221,average
ICT_20250728_180306_LIQ,2025-07-28T18:03:06.902673,LIQUIDITY_GRAB_BEARISH,1.2,LIQUIDITY_GRAB_BULLISH,0.7392800600573314,B,0.7636649131569645,"MOMENTUM_ALIGNMENT,SESSION_OPTIMIZATION,LIQUIDITY_POOL_PROXIMITY",NEW_YORK,mid,False,LIQUIDITY_REVERSAL,1.1651999019056352,0.02451499035943361,-9.321099467003192,2.8685109531191904,51.547273248234944,20.558163348848396,TAKE_PROFIT,81.27002463064406,good
ICT_20250805_180306_JUD,2025-08-05T18:03:06.903152,JUDAS_SWING_LONDON,1.0,JUDAS_SWING,0.8518406872374296,A,0.8495904652752809,"SESSION_OPTIMIZATION,PATTERN_QUALITY_HIGH",NEW_YORK,mid,False,PATTERN_BREAKOUT,1.1722182769364191,0.010977567360461933,0.0,2.9602846405610244,90.08105824828652,33.996713035164305,TAKE_PROFIT,91.7949822490049,excellent
