[2025-08-09 16:21:29.952] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | ICTEnterpriseApp.__init__ | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:29.961] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | ICTEngineSimulated.__init__ | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:29.973] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | compose | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.036] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | on_mount | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.107] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | on_ready | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.128] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | force_initial_content | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.128] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_header | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.128] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.128] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: str | Time: 1.4543533325195312e-05
[2025-08-09 16:21:30.129] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_overview | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.229] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_detectors | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.229] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_ict_detectors | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.230] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_ict_detectors | Args: NoneType | Result: str | Time: 6.628036499023438e-05
[2025-08-09 16:21:30.232] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_performance | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.232] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_performance_metrics | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.233] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_performance_metrics | Args: NoneType | Result: str | Time: 5.435943603515625e-05
[2025-08-09 16:21:30.236] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_analysis | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.236] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_technical_analysis | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.236] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_technical_analysis | Args: NoneType | Result: str | Time: 5.888938903808594e-05
[2025-08-09 16:21:30.238] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_reports | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.238] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.238] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: str | Time: 4.267692565917969e-05
[2025-08-09 16:21:30.242] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | refresh_all_displays | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.242] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_header | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.243] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: NoneType | Time: None
