2025-08-06 09:10:02 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:10:12 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:10:22 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:10:32 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:10:42 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:10:52 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:11:03 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:11:12 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:11:22 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:11:33 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:11:42 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:11:52 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:12:02 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:12:12 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:12:22 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:12:33 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:12:42 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:12:52 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:13:03 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:13:12 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:13:22 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:13:33 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:13:42 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:13:52 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:14:03 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:14:12 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:14:22 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:14:32 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:14:42 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:14:52 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:15:02 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
2025-08-06 09:15:12 | WARNING  | SMART.DASHBOARD.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Activando tabla fallback: Sin datos para H1
