2025-08-05 09:48:42 | ERROR    | SMART.ERRORS.VALIDADOR_MAESTRO | [SYMBOL] Test de logging ERROR
2025-08-05 11:46:09 | INFO     | SMART.ERRORS.__MAIN__     | [FAILED] Errores encontrados: 0
2025-08-05 11:49:11 | INFO     | SMART.ERRORS.__MAIN__     | [FAILED] Errores encontrados: 0
2025-08-05 12:04:00 | INFO     | SMART.ERRORS.__MAIN__     | [FAILED] Errores encontrados: 0
2025-08-05 12:05:24 | INFO     | SMART.ERRORS.__MAIN__     | [FAILED] Errores encontrados: 0
2025-08-05 16:22:34 | ERROR    | SMART.ERRORS.TEST_VALIDACION |  Nivel ERROR operativo
2025-08-05 18:22:44 | CRITICAL | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Tabla error crítico activada: Error crítico en integración POI: 'dict' object has no attribute 'iloc'
2025-08-05 18:22:44 | ERROR    | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Error crítico documentado: 'dict' object has no attribute 'iloc'
2025-08-05 18:23:23 | CRITICAL | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Tabla error crítico activada: Error crítico en integración POI: 'POIScoringEngine' object has no attribute 'evaluar_pois'
2025-08-05 18:23:23 | ERROR    | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Error crítico documentado: 'POIScoringEngine' object has no attribute 'evaluar_pois'
2025-08-05 18:24:29 | CRITICAL | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Tabla error crítico activada: Error crítico en integración POI: 'str' object has no attribute 'get'
2025-08-05 18:24:29 | ERROR    | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Error crítico documentado: 'str' object has no attribute 'get'
2025-08-05 18:24:59 | CRITICAL | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Tabla error crítico activada: Error crítico en integración POI: 'str' object has no attribute 'get'
2025-08-05 18:24:59 | ERROR    | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Error crítico documentado: 'str' object has no attribute 'get'
2025-08-05 18:25:28 | CRITICAL | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Tabla error crítico activada: Error crítico en integración POI: 'str' object has no attribute 'get'
2025-08-05 18:25:28 | ERROR    | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Error crítico documentado: 'str' object has no attribute 'get'
2025-08-05 18:26:13 | CRITICAL | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Tabla error crítico activada: Error crítico en integración POI: 'str' object has no attribute 'get'
2025-08-05 18:26:13 | ERROR    | SMART.ERRORS.DASHBOARD.POI_DASHBOARD_INTEGRATION | [SYMBOL] Error crítico documentado: 'str' object has no attribute 'get'
