2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para JUDAS_SWING (0 muestras), usando peso base: 1.0
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para JUDAS_SWING (0 muestras), usando peso base: 1.0
2025-08-06 09:11:03 | ERROR    | SMART.ICT.CORE.ICT_ENGINE.CONFIDENCE_ENGINE | Error calculando score base: '>=' not supported between instances of 'str' and 'int'
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para MARKET_STRUCTURE_V2 (0 muestras), usando peso base: 1.0
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para MARKET_STRUCTURE_V2 (0 muestras), usando peso base: 1.0
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para LIQUIDITY_GRAB (0 muestras), usando peso base: 1.0
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para LIQUIDITY_GRAB (0 muestras), usando peso base: 1.0
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para ORDER_BLOCK (0 muestras), usando peso base: 1.0
2025-08-06 09:11:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para ORDER_BLOCK (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para JUDAS_SWING (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para JUDAS_SWING (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | ERROR    | SMART.ICT.CORE.ICT_ENGINE.CONFIDENCE_ENGINE | Error calculando score base: '>=' not supported between instances of 'str' and 'int'
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para MARKET_STRUCTURE_V2 (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para MARKET_STRUCTURE_V2 (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para LIQUIDITY_GRAB (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para LIQUIDITY_GRAB (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para ORDER_BLOCK (0 muestras), usando peso base: 1.0
2025-08-06 09:11:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para ORDER_BLOCK (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para JUDAS_SWING (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para JUDAS_SWING (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | ERROR    | SMART.ICT.CORE.ICT_ENGINE.CONFIDENCE_ENGINE | Error calculando score base: '>=' not supported between instances of 'str' and 'int'
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para MARKET_STRUCTURE_V2 (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para MARKET_STRUCTURE_V2 (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para LIQUIDITY_GRAB (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para LIQUIDITY_GRAB (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para ORDER_BLOCK (0 muestras), usando peso base: 1.0
2025-08-06 09:12:03 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para ORDER_BLOCK (0 muestras), usando peso base: 1.0
2025-08-06 09:12:33 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:12:33 | WARNING  | SMART.ICT.CORE.POI_SYSTEM.POI_DETECTOR | [WARNING] Dataset insuficiente para análisis OB: solo 10 velas (mínimo 20)
2025-08-06 09:12:33 | WARNING  | SMART.ICT.CORE.ICT_ENGINE.ICT_HISTORICAL_ANALYZER | [COLD_START] [SYMBOL] Datos insuficientes para JUDAS_SWING (0 muestras), usando peso base: 1.0
