2025-08-06 09:10:02 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:10:12 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:10:22 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:10:32 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:10:42 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:10:52 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:11:03 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:11:12 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:11:22 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:11:33 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:11:42 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:11:52 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:12:02 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:12:12 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:12:22 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:12:33 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:12:42 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:12:52 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:13:03 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:13:12 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:13:22 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:13:33 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:13:42 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:13:52 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:14:03 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:14:12 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:14:22 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:14:32 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:14:42 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:14:52 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:15:02 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 09:15:12 | WARNING  | SMART.POI.DASHBOARD.POI_DASHBOARD_INTEGRATION | [WARNING] No hay datos para timeframe H1 - Usando fallback
2025-08-06 15:56:09 | WARNING  | SMART.POI.SIC             | POI System no disponible: cannot import name 'log_poi' from 'sistema.sic' (C:\Users\v_jac\Desktop\itc engine v5.0\sistema\sic.py)
